SampleCode,Compound,Category1,Category2,Formula,Halogenation,RetentionTime1D,RetentionTime2D,InternalStandard,Sample,Ecotype,Instrument,RelativeArea
DSJ2195,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1198.16,1.181,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.082336041
NEB0016,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1198.16,1.175,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.025566402
JEH0504,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1198.16,1.201,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.077283671
JEH0472,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1201.66,1.181,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.186883895
DSJ2155,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1198.16,1.195,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.076311995
DSJ1765,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1198.16,1.201,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",0.105646435
KXD0003,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1198.16,1.188,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.131228614
JEH0472,hydroxychlordene,anthropogenic,Chlordane-related,C10H6Cl6O,chlorinated,1201.66,1.201,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.008766769
NEB0016,hydroxychlordene,anthropogenic,Chlordane-related,C10H6Cl6O,chlorinated,1198.16,1.195,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.002577992
KXD0003,hydroxychlordene,anthropogenic,Chlordane-related,C10H6Cl6O,chlorinated,1198.16,1.214,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.013520652
KZP0086,chlordane related 2,anthropogenic,Chlordane-related,C10H8Cl6,chlorinated,1226.14,1.208,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.00889034
DSJ2195,chlordane related 2,anthropogenic,Chlordane-related,C10H8Cl6,chlorinated,1226.14,1.201,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.013656377
