	AveExpr	Coef.Grp1	Coef.Grp2vs1	t.Grp1	t.Grp2vs1	P.value.Grp1	P.value.Grp2vs1	F	F.p.value
Gene 1	0.991667679877653	-0.140557724845245	2.26445080944579	-0.983553460513306	11.2044655358225	0.356206644189307	6.31338568652348e-06	110.922521991754	2.8718848821549e-06
Gene 2	1.03728941514003	0.135322126015557	1.80393457824895	0.934645447506493	8.81016147081333	0.379282411329941	3.37696983994191e-05	90.1376753245445	6.04809810564116e-06
Gene 3	0.0210057520919556	-0.136176706273769	0.31436491673145	-1.02805433683894	1.67815595600944	0.336155541094147	0.134638353774624	1.43325167782079	0.297446892813383
Gene 4	-0.0254876465774982	-0.237853843278792	0.424732393402588	-1.87225800380715	2.36404592857188	0.100808959901437	0.0479355838799586	2.83460700561551	0.121528013292556
Gene 5	0.063730086284327	-0.0627969429178041	0.253054058404262	-0.216224650819619	0.616119581106572	0.8346173757263	0.556174606111929	0.237954565833042	0.794009460285854
Gene 6	-0.278643753253231	-0.400952488886924	0.244617471267386	-0.889666209308973	0.383801490187554	0.401471684333378	0.711850378110825	0.45591894917011	0.650448566580024
Gene 7	0.0654295954137863	-0.105474725685835	0.341808642199242	-0.774888797909878	1.77565676103374	0.462298138786671	0.116486626818264	1.80754147611584	0.229141060004602
Gene 8	0.113437377750307	-0.0935064657019939	0.413887686904601	-0.41980637835609	1.31393807959954	0.68647554899478	0.227896996712293	1.12259105598816	0.374873849711927
Gene 9	0.0332880697216017	-0.0517000058381408	0.169976151119485	-0.428173011293052	0.995409291534538	0.680638409375082	0.350777025911465	0.571423508541442	0.587663645487573
Gene 10	-0.0832585839886318	-0.00773970109210593	-0.151037765793052	-0.0565059911826791	-0.779723931259162	0.95642524111524	0.459614525494179	0.673471275426792	0.538463403218427
Gene 11	-0.42187302972143	-0.849960275707671	0.856174491972483	-2.66227731525089	1.89627775241395	0.0305910106860195	0.0972370015216951	3.54404968308809	0.0829044316293591
Gene 12	-0.0665353308492125	-0.0448585995089543	-0.0433534626805165	-0.313688561410867	-0.214368892701303	0.762363394585189	0.836012272888516	0.239453425096313	0.792891841807152
Gene 13	0.0793143341971491	0.0520513608297746	0.0545259467347489	0.296483152193572	0.219612041106823	0.774960730427438	0.832072843680263	0.228212949523841	0.80132217358608
Gene 14	0.0558101059728827	0.0703764479655564	-0.0291326839853473	0.304223888497005	-0.0890494968074859	0.769284013132221	0.931390610525039	0.0621695499579425	0.940206059660968
Gene 15	-0.0623595688695232	0.0405391343539662	-0.205797406446979	0.328114969636128	-1.17781335217394	0.751859106398153	0.275138383426647	0.948369309038076	0.429626708600562
Gene 16	-0.243580529139305	-0.26228192929806	0.0374028003175102	-1.57822984534629	0.159144268806283	0.155957432273422	0.877786205538421	2.16093364744785	0.181949697500729
Gene 17	0.119286626247429	0.157898860215699	-0.0772244679365401	1.19619333976439	-0.413677892121806	0.268316396717873	0.690765665538652	0.902200248131021	0.445811497805743
Gene 18	-0.294494116747612	-0.376121294184258	0.163254354873292	-2.15752139334189	0.662181382464483	0.0655378131216979	0.527810605604663	3.07293755024745	0.106402841421575
Gene 19	0.351528521097011	0.172506194263491	0.35804465366704	0.924334782328814	1.35658433231185	0.38428686637526	0.214604306372974	4.46805208458436	0.0530937410339134
Gene 20	0.0607556223446792	-0.131881260615456	0.385273765920271	-0.580261486377601	1.19865747084242	0.578867604900136	0.267412568603844	0.789848426240624	0.488554092551405
Gene 21	0.244842851625206	0.205828497308724	0.0780287086329638	1.40069231229706	0.375471228167516	0.201572402628425	0.717778271668535	2.84668031673609	0.120698586637652
Gene 22	-0.0557754083875744	-0.32342040344027	0.535289990105391	-2.70700832149309	3.16808117317938	0.0286119064699707	0.0145204926904569	5.23630560892279	0.0380262746329937
Gene 23	0.0568273840976682	-0.0100527871303805	0.133760342456098	-0.0737439152875844	0.693828411361017	0.943156274789489	0.508849672716514	0.414476910643282	0.675037006960731
Gene 24	0.237591487167482	0.311578009345245	-0.147973044355526	2.06964307441345	-0.6950183440797	0.0748623311843789	0.508145244435871	2.73221173542113	0.128861587880951
Gene 25	0.0485594455666964	0.0957619122698103	-0.0944049334062276	0.770184069742944	-0.536885177565644	0.464919524940264	0.607009338253568	0.296651305832809	0.751694035867222
Gene 26	0.0925919048747148	0.142262066437599	-0.0993403231257677	1.10349700965404	-0.544869650661101	0.304190733494864	0.601773690381354	0.664275668940692	0.542677247013893
Gene 27	0.00854857357629051	0.00691584592858331	0.00326545529541443	0.0546210169758637	0.018236572484671	0.957877177589623	0.985929210714549	0.00472472639224222	0.995289398701121
Gene 28	0.0665117899913934	0.286665595776183	-0.440307611569578	1.86285815633408	-2.02323071195011	0.102240912614565	0.0803033756817848	2.23354365642109	0.173828116731483
Gene 29	0.00442400677518674	-0.131154173198965	0.271156359948304	-0.530997433508168	0.776274116137795	0.610885850069708	0.461528172943485	0.301621564858496	0.748243710328741
Gene 30	-0.0067788925718242	-0.00970473439003722	0.00585168363642607	-0.036517802711391	0.0155699359159258	0.971829295170702	0.987986502334505	0.000771879486950891	0.99922849827279
Gene 31	0.240920505749847	0.0932744515349958	0.295292108429703	0.359507461070118	0.804789028091415	0.729195699041611	0.445872820930523	1.18610209530645	0.357133090771034
Gene 32	0.109737085933466	-0.0541536979311408	0.327781567729214	-0.335265613939156	1.43492904027148	0.746672937697632	0.191942980646585	1.49107117638969	0.285350838721991
Gene 33	0.12466110541833	-0.00195478347255266	0.253231777781765	-0.0103206473090012	0.94539104585085	0.99203655952477	0.3741187000086	0.880072196357225	0.453842813542626
Gene 34	0.0552056310383881	-0.0359038193736217	0.182218900824019	-0.227910872509086	0.817904915199867	0.825848020642397	0.438796140512967	0.457289082163565	0.649655203565893
Gene 35	-0.00849019576560883	-0.0152459999119129	0.0135116082926082	-0.0722972180717129	0.0453062087808838	0.944269203391064	0.965054458055452	0.00264726558999213	0.99735717350722
Gene 36	0.0540439572342424	0.0530226942197652	0.00204252602895433	0.466048221955162	0.0126946773040717	0.654507943397196	0.990204852482814	0.22572905667048	0.803200406318892
Gene 37	0.107813874649934	0.214330605961493	-0.213033462623118	1.21093236691175	-0.851076353858627	0.262947903860219	0.421249471891595	0.733205453133592	0.512077355194155
Gene 38	0.240332049149289	0.630584144803265	-0.780504191307951	3.39119354523227	-2.96804015223829	0.0105512601035611	0.0194349183500428	6.07511562957106	0.0272502989393473
Gene 39	-0.181810787933845	-0.179475000961703	-0.00467157394428509	-1.58266015593573	-0.0291294264983833	0.15494979832176	0.977526804939364	2.57085974183899	0.141596731303144
Gene 40	-0.0748439367697726	0.00704393546727878	-0.163775744474103	0.0540846273847919	-0.8891869042737	0.958290372892205	0.401713139177877	0.725567069006177	0.515358535494501
Gene 41	0.0605384270848591	0.260568318766369	-0.40005978336302	1.51419768181333	-1.64388284649739	0.171205397377747	0.141625557543693	1.47493651712337	0.288662490081723
Gene 42	0.0880098224374581	0.122338796578265	-0.0686579482816129	1.04579286522377	-0.415008788600565	0.32841187069709	0.689832968473446	0.652127615278451	0.548308390182451
Gene 43	0.0420593226803407	-0.264271497029167	0.612661639419014	-1.3772617608163	2.25772922970555	0.208405878054582	0.0563072516415297	2.59671659769091	0.139451784305211
Gene 44	-0.279658128296639	-0.265209817686157	-0.0288966212209659	-2.44649948779358	-0.188489689737853	0.0423188808563234	0.855527518713026	6.6730384492182	0.0218570548622575
Gene 45	0.0861588198197538	0.0477663496887727	0.0767849402619621	0.346321421627424	0.393657341079918	0.738681858116838	0.704864066079282	0.467707150218765	0.643662692056461
