"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"G3",1.03867984987364,3.48697304279418,13.8851717613223,2.89802077448002e-17,4.63683323916803e-16,29.0897206711724
"G9",-0.368403183783499,2.81082389454836,-5.39543969550427,2.95216716266521e-06,2.36173373013217e-05,3.6663653839609
"G2",0.201012409077663,3.09172251067085,3.00150783748984,0.00451528810849685,0.0240815365786499,-3.44494127551002
"G11",0.136231813916519,3.04401719701034,1.83511802335988,0.0736021779974047,0.294408711989619,-5.95695246312458
"G7",-0.0734637861273666,3.04635969781479,-1.03157833005627,0.308194729885961,0.841695466035613,-7.07434806823943
"G13",-0.0840283266435781,2.95611732431919,-1.00973227905054,0.318426240034716,0.841695466035613,-7.09656878322045
"G14",-0.0739845339574886,2.96962832772416,-0.909601585329418,0.368241766390581,0.841695466035613,-7.19259676163708
"G10",0.0534041977341947,3.00558976462751,0.721568510914464,0.474572143574188,0.856409542249535,-7.3467529928884
"G5",-0.0437767274006478,2.97788100122366,-0.561100548459951,0.577721258588671,0.856409542249535,-7.45083151393229
"G12",-0.0387976321653073,2.98127292140912,-0.557284124194744,0.580301957072325,0.856409542249535,-7.45299517120623
